"","code_station","libelle_station","code_departement","libelle_departement","code_commune","libelle_commune","code_region","libelle_region","code_bassin","libelle_bassin","code_cours_eau","libelle_cours_eau","code_campagne","code_reseau","libelle_reseau","code_ecoulement","libelle_ecoulement","longitude","latitude","date_campagne","nombre_modalite_ecoulement","code_type_campagne","libelle_type_campagne","uri_reseau","etat_station","Annee"
"1","F0100001","La Seine au Fourneau","21","Côte-d'Or","21154","CHATILLON-SUR-SEINE","27","Bourgogne-Franche-Comté","03","Seine-Normandie","10","La Seine","101552","0000000134","Onde OFB","2","Ecoulement non visible",4.568695056,47.845305627,2025-07-11,5,2,"complémentaire","http://id.eaufrance.fr/dc/0000000134","Active",2025
"2","F0100001","La Seine au Fourneau","21","Côte-d'Or","21154","CHATILLON-SUR-SEINE","27","Bourgogne-Franche-Comté","03","Seine-Normandie","10","La Seine","100954","0000000134","Onde OFB","1f","Ecoulement visible faible",4.568695056,47.845305627,2025-06-25,5,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2025
"3","F0100001","La Seine au Fourneau","21","Côte-d'Or","21154","CHATILLON-SUR-SEINE","27","Bourgogne-Franche-Comté","03","Seine-Normandie","10","La Seine","100000","0000000134","Onde OFB","1a","Ecoulement visible acceptable",4.568695056,47.845305627,2025-05-26,5,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2025
"4","F0100001","La Seine au Fourneau","21","Côte-d'Or","21154","CHATILLON-SUR-SEINE","27","Bourgogne-Franche-Comté","03","Seine-Normandie","10","La Seine","98870","0000000134","Onde OFB","1a","Ecoulement visible acceptable",4.568695056,47.845305627,2024-09-25,5,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2024
"5","F0100001","La Seine au Fourneau","21","Côte-d'Or","21154","CHATILLON-SUR-SEINE","27","Bourgogne-Franche-Comté","03","Seine-Normandie","10","La Seine","98758","0000000134","Onde OFB","1a","Ecoulement visible acceptable",4.568695056,47.845305627,2024-08-26,5,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2024
"6","F0100001","La Seine au Fourneau","21","Côte-d'Or","21154","CHATILLON-SUR-SEINE","27","Bourgogne-Franche-Comté","03","Seine-Normandie","10","La Seine","98569","0000000134","Onde OFB","1a","Ecoulement visible acceptable",4.568695056,47.845305627,2024-07-25,5,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2024
"7","F0100001","La Seine au Fourneau","21","Côte-d'Or","21154","CHATILLON-SUR-SEINE","27","Bourgogne-Franche-Comté","03","Seine-Normandie","10","La Seine","98398","0000000134","Onde OFB","1a","Ecoulement visible acceptable",4.568695056,47.845305627,2024-06-25,5,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2024
"8","F0100001","La Seine au Fourneau","21","Côte-d'Or","21154","CHATILLON-SUR-SEINE","27","Bourgogne-Franche-Comté","03","Seine-Normandie","10","La Seine","98291","0000000134","Onde OFB","1a","Ecoulement visible acceptable",4.568695056,47.845305627,2024-05-24,5,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2024
"9","F0100001","La Seine au Fourneau","21","Côte-d'Or","21154","CHATILLON-SUR-SEINE","27","Bourgogne-Franche-Comté","03","Seine-Normandie","10","La Seine","98099","0000000134","Onde OFB","1f","Ecoulement visible faible",4.568695056,47.845305627,2023-10-26,5,2,"complémentaire","http://id.eaufrance.fr/dc/0000000134","Active",2023
"10","F0100001","La Seine au Fourneau","21","Côte-d'Or","21154","CHATILLON-SUR-SEINE","27","Bourgogne-Franche-Comté","03","Seine-Normandie","10","La Seine","97984","0000000134","Onde OFB","1f","Ecoulement visible faible",4.568695056,47.845305627,2023-09-26,5,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2023
"11","F0100001","La Seine au Fourneau","21","Côte-d'Or","21154","CHATILLON-SUR-SEINE","27","Bourgogne-Franche-Comté","03","Seine-Normandie","10","La Seine","97782","0000000134","Onde OFB","1f","Ecoulement visible faible",4.568695056,47.845305627,2023-08-25,5,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2023
"12","F0100001","La Seine au Fourneau","21","Côte-d'Or","21154","CHATILLON-SUR-SEINE","27","Bourgogne-Franche-Comté","03","Seine-Normandie","10","La Seine","97683","0000000134","Onde OFB","1f","Ecoulement visible faible",4.568695056,47.845305627,2023-07-24,5,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2023
"13","F0100001","La Seine au Fourneau","21","Côte-d'Or","21154","CHATILLON-SUR-SEINE","27","Bourgogne-Franche-Comté","03","Seine-Normandie","10","La Seine","97513","0000000134","Onde OFB","1f","Ecoulement visible faible",4.568695056,47.845305627,2023-06-26,5,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2023
"14","F0100001","La Seine au Fourneau","21","Côte-d'Or","21154","CHATILLON-SUR-SEINE","27","Bourgogne-Franche-Comté","03","Seine-Normandie","10","La Seine","97455","0000000134","Onde OFB","1a","Ecoulement visible acceptable",4.568695056,47.845305627,2023-06-12,5,2,"complémentaire","http://id.eaufrance.fr/dc/0000000134","Active",2023
"15","F0100001","La Seine au Fourneau","21","Côte-d'Or","21154","CHATILLON-SUR-SEINE","27","Bourgogne-Franche-Comté","03","Seine-Normandie","10","La Seine","97368","0000000134","Onde OFB","1a","Ecoulement visible acceptable",4.568695056,47.845305627,2023-05-25,5,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2023
"16","F0100001","La Seine au Fourneau","21","Côte-d'Or","21154","CHATILLON-SUR-SEINE","27","Bourgogne-Franche-Comté","03","Seine-Normandie","10","La Seine","97281","0000000134","Onde OFB","1a","Ecoulement visible acceptable",4.568695056,47.845305627,2023-04-27,5,2,"complémentaire","http://id.eaufrance.fr/dc/0000000134","Active",2023
"17","F0100001","La Seine au Fourneau","21","Côte-d'Or","21154","CHATILLON-SUR-SEINE","27","Bourgogne-Franche-Comté","03","Seine-Normandie","10","La Seine","97135","0000000134","Onde OFB","1a","Ecoulement visible acceptable",4.568695056,47.845305627,2023-03-27,5,2,"complémentaire","http://id.eaufrance.fr/dc/0000000134","Active",2023
"18","F0100001","La Seine au Fourneau","21","Côte-d'Or","21154","CHATILLON-SUR-SEINE","27","Bourgogne-Franche-Comté","03","Seine-Normandie","10","La Seine","96939","0000000134","Onde OFB","1a","Ecoulement visible acceptable",4.568695056,47.845305627,2022-10-27,5,2,"complémentaire","http://id.eaufrance.fr/dc/0000000134","Active",2022
"19","F0100001","La Seine au Fourneau","21","Côte-d'Or","21154","CHATILLON-SUR-SEINE","27","Bourgogne-Franche-Comté","03","Seine-Normandie","10","La Seine","96837","0000000134","Onde OFB","1f","Ecoulement visible faible",4.568695056,47.845305627,2022-09-26,5,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2022
"20","F0100001","La Seine au Fourneau","21","Côte-d'Or","21154","CHATILLON-SUR-SEINE","27","Bourgogne-Franche-Comté","03","Seine-Normandie","10","La Seine","96625","0000000134","Onde OFB","3","Assec",4.568695056,47.845305627,2022-08-24,5,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2022
"21","F0100001","La Seine au Fourneau","21","Côte-d'Or","21154","CHATILLON-SUR-SEINE","27","Bourgogne-Franche-Comté","03","Seine-Normandie","10","La Seine","96601","0000000134","Onde OFB","3","Assec",4.568695056,47.845305627,2022-08-16,5,2,"complémentaire","http://id.eaufrance.fr/dc/0000000134","Active",2022
"22","F0100001","La Seine au Fourneau","21","Côte-d'Or","21154","CHATILLON-SUR-SEINE","27","Bourgogne-Franche-Comté","03","Seine-Normandie","10","La Seine","96498","0000000134","Onde OFB","1f","Ecoulement visible faible",4.568695056,47.845305627,2022-07-26,5,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2022
"23","F0100001","La Seine au Fourneau","21","Côte-d'Or","21154","CHATILLON-SUR-SEINE","27","Bourgogne-Franche-Comté","03","Seine-Normandie","10","La Seine","96355","0000000134","Onde OFB","1a","Ecoulement visible acceptable",4.568695056,47.845305627,2022-06-27,5,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2022
"24","F0100001","La Seine au Fourneau","21","Côte-d'Or","21154","CHATILLON-SUR-SEINE","27","Bourgogne-Franche-Comté","03","Seine-Normandie","10","La Seine","96272","0000000134","Onde OFB","1f","Ecoulement visible faible",4.568695056,47.845305627,2022-06-17,5,2,"complémentaire","http://id.eaufrance.fr/dc/0000000134","Active",2022
"25","F0100001","La Seine au Fourneau","21","Côte-d'Or","21154","CHATILLON-SUR-SEINE","27","Bourgogne-Franche-Comté","03","Seine-Normandie","10","La Seine","96168","0000000134","Onde OFB","1","Ecoulement visible",4.568695056,47.845305627,2022-05-25,4,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2022
"26","F0100001","La Seine au Fourneau","21","Côte-d'Or","21154","CHATILLON-SUR-SEINE","27","Bourgogne-Franche-Comté","03","Seine-Normandie","10","La Seine","95937","0000000134","Onde OFB","1f","Ecoulement visible faible",4.568695056,47.845305627,2021-09-27,5,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2021
"27","F0100001","La Seine au Fourneau","21","Côte-d'Or","21154","CHATILLON-SUR-SEINE","27","Bourgogne-Franche-Comté","03","Seine-Normandie","10","La Seine","95835","0000000134","Onde OFB","1a","Ecoulement visible acceptable",4.568695056,47.845305627,2021-08-27,5,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2021
"28","F0100001","La Seine au Fourneau","21","Côte-d'Or","21154","CHATILLON-SUR-SEINE","27","Bourgogne-Franche-Comté","03","Seine-Normandie","10","La Seine","95699","0000000134","Onde OFB","1","Ecoulement visible",4.568695056,47.845305627,2021-07-26,4,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2021
"29","F0100001","La Seine au Fourneau","21","Côte-d'Or","21154","CHATILLON-SUR-SEINE","27","Bourgogne-Franche-Comté","03","Seine-Normandie","10","La Seine","95603","0000000134","Onde OFB","1a","Ecoulement visible acceptable",4.568695056,47.845305627,2021-06-25,5,1,"usuelle","http://id.eaufrance.fr/dc/0000000134","Active",2021
